"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Cancel CI-Windows for 76532""","""'.github/workflows/cancel-windows.yml""",0.00,2771,2512,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76677""","""'.github/workflows/cancel-windows.yml""",0.00,2760,2297,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76709""","""'.github/workflows/cancel-CI.yml""",0.00,2750,2756,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76719""","""'.github/workflows/cancel-coverage.yml""",0.00,2744,2009,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76730""","""'.github/workflows/cancel-CI-build.yml""",0.00,2728,1952,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76667""","""'.github/workflows/cancel-coverage.yml""",0.00,2728,2640,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76713""","""'.github/workflows/cancel-windows.yml""",0.00,2721,3240,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 75879""","""'.github/workflows/cancel-CI-build.yml""",0.00,2705,1823,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76648""","""'.github/workflows/cancel-coverage.yml""",0.00,2702,2247,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76684""","""'.github/workflows/cancel-CI.yml""",0.00,2700,2353,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76727""","""'.github/workflows/cancel-coverage.yml""",0.00,2692,2594,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76716""","""'.github/workflows/cancel-windows.yml""",0.00,2692,1888,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76681""","""'.github/workflows/cancel-CI.yml""",0.00,2688,2272,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76733""","""'.github/workflows/cancel-windows.yml""",0.00,2687,2454,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76707""","""'.github/workflows/cancel-windows.yml""",0.00,2672,2813,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76690""","""'.github/workflows/cancel-CI.yml""",0.00,2659,2790,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76742""","""'.github/workflows/cancel-windows.yml""",0.00,2659,1884,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76711""","""'.github/workflows/cancel-CI-build.yml""",0.00,2643,2738,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76647""","""'.github/workflows/cancel-coverage.yml""",0.00,2638,3168,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76709""","""'.github/workflows/cancel-windows.yml""",0.00,2636,3032,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76651""","""'.github/workflows/cancel-CI-build.yml""",0.00,2634,4619,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76576""","""'.github/workflows/cancel-windows.yml""",0.00,2614,2117,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76606""","""'.github/workflows/cancel-CI-build.yml""",0.00,2609,2920,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76716""","""'.github/workflows/cancel-CI-build.yml""",0.00,2598,2134,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76675""","""'.github/workflows/cancel-coverage.yml""",0.00,2597,2220,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76684""","""'.github/workflows/cancel-coverage.yml""",0.00,2596,2469,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76652""","""'.github/workflows/cancel-CI-build.yml""",0.00,2591,2688,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76671""","""'.github/workflows/cancel-windows.yml""",0.00,2579,1905,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76532""","""'.github/workflows/cancel-CI-build.yml""",0.00,2578,2914,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76661""","""'.github/workflows/cancel-windows.yml""",0.00,2570,2616,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76647""","""'.github/workflows/cancel-CI-build.yml""",0.00,2560,2800,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76687""","""'.github/workflows/cancel-CI.yml""",0.00,2504,1980,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76549""","""'.github/workflows/cancel-CI-build.yml""",0.00,2501,5743,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76678""","""'.github/workflows/cancel-coverage.yml""",0.00,2486,2527,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel Coverage for 76713""","""'.github/workflows/cancel-coverage.yml""",0.00,2483,2590,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76674""","""'.github/workflows/cancel-CI.yml""",0.00,2478,2772,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76727""","""'.github/workflows/cancel-CI.yml""",0.00,2477,5099,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76648""","""'.github/workflows/cancel-windows.yml""",0.00,2460,2351,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76396""","""'.github/workflows/cancel-windows.yml""",0.00,2459,2349,"""'hosted""","""'ubuntu-latest""",2
"""'Cancel CI-Build for 76552""","""'.github/workflows/cancel-CI-build.yml""",0.00,2459,2177,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI for 76686""","""'.github/workflows/cancel-CI.yml""",0.00,2457,1801,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Windows for 76678""","""'.github/workflows/cancel-windows.yml""",0.00,2457,2026,"""'hosted""","""'ubuntu-latest""",1
"""'Cancel CI-Build for 76675""","""'.github/workflows/cancel-CI-build.yml""",0.00,2451,2668,"""'hosted""","""'ubuntu-latest""",1
